table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__Location__c,A_V_Tax__c,
dev_hotel_sales,nihrm__Booking__c,Abbreviation__c,
dev_hotel_sales,nihrm__VolumeContract__c,Agency_IATA__c,
dev_hotel_sales,nihrm__Booking__c,Agency_IATA__c,
dev_hotel_sales,nihrm__Inquiry__c,Agency_IATA__c,
dev_hotel_sales,nihrm__Inquiry__c,Agency__c,
dev_hotel_sales,nihrm__Inquiry__c,Agent__c,
dev_hotel_sales,nihrm__Location__c,Ancillary_Property_Clauses_Rooms_Only__c,
dev_hotel_sales,nihrm__Location__c,Ancillary_Property_Clauses_Space_Only__c,
dev_hotel_sales,nihrm__Location__c,Beverage_Tax__c,
dev_hotel_sales,nihrm__Booking__c,Billing_Contact__c,
dev_hotel_sales,nihrm__Booking__c,Campaign_Discount__c,
dev_hotel_sales,nihrm__Booking__c,Campaign_Perks__c,
dev_hotel_sales,nihrm__Booking__c,Campaign_Savings__c,
dev_hotel_sales,nihrm__Booking__c,Campaign__c,
dev_hotel_sales,nihrm__Inquiry__c,CommissionPercentage__c,
dev_hotel_sales,nihrm__VolumeContract__c,Commission__c,
dev_hotel_sales,nihrm__VolumeContract__c,Commissionable__c,
dev_hotel_sales,nihrm__Inquiry__c,Commissionable__c,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__History,CreatedById,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,CreatedById,
dev_hotel_sales,nihrm__ChannelPackage__c,CreatedById,
dev_hotel_sales,nihrm__BookingTax__c,CreatedById,
dev_hotel_sales,nihrm__PackageItem__c,CreatedById,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,CreatedById,
dev_hotel_sales,nihrm__BookingOtherIncome__c,CreatedById,
dev_hotel_sales,nihrm__ChannelLocationItem__c,CreatedById,
dev_hotel_sales,nihrm__RevenueClassification__c,CreatedById,
dev_hotel_sales,nihrm__Package__c,CreatedById,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,CreatedById,
dev_hotel_sales,nihrm__GuestroomType__c,CreatedById,
dev_hotel_sales,nihrm__FunctionRoomGroup__c,CreatedById,
dev_hotel_sales,nihrm__FunctionRoomGroupComponent__c,CreatedById,
dev_hotel_sales,nihrm__EventClassification__c,CreatedById,
dev_hotel_sales,nihrm__VolumeContract__c,CreatedById,
dev_hotel_sales,nihrm__PmsRoomNight__c,CreatedById,
dev_hotel_sales,nihrm__ReservationNight__c,CreatedById,
dev_hotel_sales,nihrm__Channel__c,CreatedById,
dev_hotel_sales,nihrm__Booking__c,CreatedById,
dev_hotel_sales,sertifisem__DataMapItem__c,CreatedById,
dev_hotel_sales,nihrm__BookingContact__c,CreatedById,
dev_hotel_sales,nihrm__OtherIncome__c,CreatedById,
dev_hotel_sales,nihrm__Reservation__c,CreatedById,
dev_hotel_sales,nihrm__Transaction__c,CreatedById,
dev_hotel_sales,nihrm__PicklistMapping__c,CreatedById,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,CreatedById,
dev_hotel_sales,nihrm__VolumeContractPickup__c,CreatedById,
dev_hotel_sales,nihrm__PackageEvent__c,CreatedById,
dev_hotel_sales,nihrm__EventItem__c,CreatedById,
dev_hotel_sales,nihrm__ChannelLocation__c,CreatedById,
dev_hotel_sales,nihrm__SiteRateCode__c,CreatedById,
dev_hotel_sales,nihrm__EventPackageItem__c,CreatedById,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,CreatedById,
dev_hotel_sales,nihrm__Site__c,CreatedById,
dev_hotel_sales,nihrm__Location__c,CreatedById,
dev_hotel_sales,nihrm__CustomMapping__c,CreatedById,
dev_hotel_sales,sertifisem__DataMap__c,CreatedById,
dev_hotel_sales,nihrm__RateCode__c,CreatedById,
dev_hotel_sales,nihrm__SalesGoal__c,CreatedById,
dev_hotel_sales,nihrm__VolumeContractContact__c,CreatedById,
dev_hotel_sales,nihrm__Item__c,CreatedById,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,CreatedById,
